year,month,day,ActualMax,AverageTemp,MaxAvTemp,MinAvTemp
2009,07,01,45,19.2,27.7,10.6
2009,08,01,43,29,35,22
2009,09,01,41,27.2,32.8,21.9
2009,10,01,45,29.6,34.6,25.0
2009,11,01,50,23,26,19
2009,12,01,43,35,38.2,30
2010,01,01,47.1,33.7,38.9,28.3
2010,02,01,55,33,37.6,28.3
2010,03,01,48,33.4,37.1,27.7
2010,04,01,41.7,26.3,30.1,20.6
2010,05,01,41,19.1,26,11.3
2010,06,01,39,11.4,19.0,2.9
2010,07,01,47,19.2,27.7,10.6
2010,08,01,43.1,29,35,22
2010,09,01,41.1,27,32,21.9
2010,10,01,45,29.6,34.6,25.0
2010,11,01,50,23,26,19
2010,12,01,43,35,38.2,30
2011,01,01,47,33.5,38.7,28.2
2011,02,01,52,32.9,37.6,28.3
2011,03,01,47,32.4,37.1,27.7
2011,04,01,41,25.3,30.1,20.6
2011,05,01,41,19,26,11
2011,06,01,38,11.5,19.8,2.9
2011,07,01,45,19.2,27.7,10.6
2011,08,01,43.1,29.1,35.1,22.1
2011,09,01,41,27.2,32.8,21.9
2011,10,01,45,29.6,34.6,25.0
2011,11,01,50.2,23.2,26.2,19.2
2011,12,01,45,35.9,38.2,30.8
2012,01,01,50,33.5,38.7,28.2
2012,02,01,55,34,38,29
2012,03,01,47,32.4,37.1,27.7
2012,04,01,41,25.3,30.1,20.6
2012,05,01,41,19,26,11
2012,06,01,37,11.4,19.0,2.9
2012,07,01,45,19.2,27.7,10.6
2012,08,01,43,29,35,22
2012,09,01,41,27.2,32.8,21.9
2012,10,01,45,29.6,34.6,25.0
2012,11,01,53,23.9,27,19.9
2012,12,01,43,35,38.2,30
2013,01,01,48,33.5,38.7,28.2
2013,02,01,50,34,38,29
2013,03,01,45,32,37,27
2013,04,01,40,25.3,30.1,20.6
2013,05,01,40,19,25.2,10.9
2013,06,01,38,11.4,19.0,2.9
2013,07,01,42,19.2,27.7,10.6
2013,08,01,42,29,35,22
2013,09,01,41,27.2,32.8,21.9
2013,10,01,45,29,33,25
2013,11,01,49.2,23,27,19
2013,12,01,43,35,38.2,30
2014,01,01,49,34,38,27
2014,02,01,50,34,38,29
2014,03,01,45,30.8,34.1,24.2
2014,04,01,40,24.7,30,20
2014,05,01,40,19,25,11
2014,06,01,40,11,19.7,2.9
2014,07,01,42,19.2,27.7,10.6
2014,08,01,45,29,35,22
2014,09,01,41,27.2,32.8,21.9
2014,10,01,45,29,33,25
2014,11,01,52.2,23,27,19
2014,12,01,43,35,38.2,30
